x,y,time,distance,RSS,tag_id,time,distance,RSS,tag_id,time,distance,RSS,tag_id
0.0,0.0,,,,26380,,,,27169,1619189994504873514,1999,-86,27201
0.0,0.0,,,,26380,,,,27169,,,,27201
0.0,0.0,,,,26380,1619189994599260330,16473,-96,27169,,,,27201
0.0,0.0,,,,26380,,,,27169,1619189994653151988,2013,-86,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189994750491142,16440,-96,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,1619189994964853048,2046,-85,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189995056868314,16449,-96,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,1619189995115213632,2088,-84,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189995213628053,16440,-96,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,1619189995278128385,2079,-84,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189995376964330,16435,-97,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,1619189995442113637,2008,-84,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189995539857864,16440,-95,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,1619189995604298591,1938,-85,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189995702861070,16431,-96,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189995857310295,16408,-96,27169,,,,27201
-0.003125000000000331,0.0046875,,,,26380,,,,27169,,,,27201
-0.003125000000000331,0.0046875,,,,26380,,,,27169,,,,27201
-0.003125000000000331,0.0046875,,,,26380,,,,27169,,,,27201
-0.003125000000000331,0.0046875,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,1619189996149602413,16398,-96,27169,,,,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,1619189996213637351,2406,-85,27201
-0.0031250000000003315,0.004687500000000001,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,1619189996310741424,16422,-97,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,1619189996380925416,2167,-87,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,1619189996479473114,16380,-96,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,1619189996539669275,2322,-86,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,1619189996637696743,16431,-96,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,1619189996792912721,16435,-95,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,1619189996846598148,1933,-86,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,1619189997002906322,1849,-86,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,1619189997100138902,16417,-96,27169,,,,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,1619189997167801856,1900,-86,27201
-0.006250000000000331,0.0015625000000000005,,,,26380,,,,27169,,,,27201
