time,x,y,rssi,tag_id
1619189981445741653,0.0,0.0,-40,417e62aa
1619189996188982009,-0.004687500000000332,4.336808689942018e-19,-40,417e62aa
1619190010200346469,-3.3176586478056436e-16,0.0031250000000000006,-40,417e62aa
1619190026208675861,0.003124999999999669,0.004687500000000001,-40,417e62aa
1619190040301084995,-0.004687500000000332,0.0031250000000000006,-40,417e62aa
1619190054791576147,0.0015624999999996683,0.004687500000000001,-40,417e62aa
1619190071954523801,0.3200934912685631,0.002497874709743626,-40,417e62aa
1619190086604903936,1.1109793056585864,-0.019535374062688148,-40,417e62aa
1619190099911397933,2.0872883386982464,-0.03918620285125311,-56,417e62aa
1619190114771394014,3.3739045994137933,-0.023686230518663642,-44,417e62aa
1619190131067349433,4.897681154110576,-0.011824970110398736,-40,417e62aa
1619190144631247520,6.472135085074578,0.011799995439257027,-40,417e62aa
1619190160289882659,7.658868495859902,0.018455549047742603,-40,417e62aa
1619190174763408660,9.125802646555794,0.07576278241824475,-40,417e62aa
1619190191174925088,11.187788956868168,0.1263986337978944,-58,417e62aa
1619190205345290184,13.50144275257972,0.2171361415203048,-40,417e62aa
1619190221132086992,15.893571573047382,0.3425062057168784,-40,417e62aa
1619190236342471361,18.391621596148887,0.4379554715713043,-47,417e62aa
1619190249779520511,20.536748367639294,0.5577412017542001,-49,417e62aa
1619190265582667589,22.69333107775912,0.6572176145994968,-53,417e62aa
1619190282406386375,25.046474457583592,0.6841342942815771,-54,417e62aa
1619190296720696926,27.13589939494059,0.6379926263215836,-50,417e62aa
1619190311146906852,29.30708273264789,0.5765778252768836,-66,417e62aa
1619190326438083171,31.52090051637851,0.5101692482639262,-46,417e62aa
1619190340192709445,33.573759808092035,0.5981826662416658,-51,417e62aa
1619190357161296367,36.17943452135859,0.6866549814107863,-49,417e62aa
1619190370553274154,38.98086035445569,0.7601021964552075,-47,417e62aa
1619190387473004579,41.23906936612443,0.7935415525879108,-53,417e62aa
1619190401147366762,42.94289687182957,0.8285799868941801,-54,417e62aa
1619190415719433784,44.90305715453625,0.7940206131858751,-57,417e62aa
1619190430736761808,46.66328724013581,0.8406375299511275,-52,417e62aa
1619190445244650840,48.04543890015745,0.8746343895795903,-69,417e62aa
1619190459718237400,49.6765114605864,0.8901297777658819,-59,417e62aa
1619190476640198707,51.401856288200925,0.9266670157235026,-59,417e62aa
1619190490490205526,53.34117406091139,0.9149092871357496,-59,417e62aa
1619190507539893150,55.07874986260545,0.950990675557783,-55,417e62aa
1619190521953015804,56.95063935356025,0.9554409140457878,-54,417e62aa
1619190536891116619,58.71960526309922,0.9862098461507429,-53,417e62aa
1619190550165684461,60.665463213819464,1.037221469185674,-58,417e62aa
1619190566431105375,62.31791032451458,1.0419172822653664,-61,417e62aa
1619190580682809829,64.17835856306519,1.0702526831261707,-61,417e62aa
1619190595715824604,65.91212157176473,1.0898541362336047,-68,417e62aa
1619190609599291324,67.60755924993909,1.1602284356197927,-69,417e62aa
1619190627321651220,67.84003852391332,1.2675335156930743,-69,417e62aa
1619190641556727886,67.0095591933499,1.0371041297914658,-56,417e62aa
1619190655407558917,64.43375377474534,0.7145575339249106,-67,417e62aa
1619190672329262256,62.40707513947146,0.4869522989995829,-57,417e62aa
1619190686148033857,60.30646716425929,0.34465203161759206,-57,417e62aa
1619190701151299953,58.049220782067614,0.41173885864436244,-57,417e62aa
1619190717641223669,56.350370118809934,0.45248997611091824,-64,417e62aa
