time,x,y,rss,distance,tag_id
1601354354046495914,49.65638427686322,5.428895273457166,-103,22607,26453
1601354354087622165,49.65638427686322,5.428895273457166,-92,10953,27204
1601354354216281175,49.65638427686322,5.428895273457166,-106,22588,26453
1601354354258666276,49.65638427686322,5.428895273457166,-92,10349,27204
1601354354379465103,49.65638427686322,5.428895273457166,-104,22710,26453
1601354354420838594,49.65638427686322,5.428895273457166,-93,10307,27204
1601354354579369306,49.65638427686322,5.428895273457166,-93,10283,27204
1601354354736406803,49.65638427686322,5.428895273457166,-91,10246,27204
1601354354899871587,49.65638427686322,5.428895273457166,-91,10274,27204
1601354355064446210,49.65638427686322,5.428895273457166,-93,10297,27204
1601354355242905855,49.65638427686322,5.428895273457166,-92,10316,27204
1601354355363533973,49.65638427686322,5.428895273457166,-107,22781,26453
1601354355406423330,49.65638427686322,5.428895273457166,-94,10349,27204
1601354355561625719,49.65638427686322,5.428895273457166,-92,10335,27204
1601354355876623392,49.65638427686322,5.428895273457166,-94,10340,27204
1601354356049449920,49.65638427686322,5.428895273457166,-94,10874,27204
1601354356228936672,49.65638427686322,5.428895273457166,-94,10977,27204
1601354356347730398,49.65638427686322,5.428895273457166,-108,22626,26453
1601354356390246629,49.65638427686322,5.428895273457166,-94,11057,27204
1601354356554461479,49.65638427686322,5.428895273457166,-94,11132,27204
1601354356710066080,49.65638427686322,5.428895273457166,-94,11099,27204
1601354356867254495,49.65638427686322,5.428895273457166,-94,10953,27204
1601354357027688980,49.65638427686322,5.428895273457166,-93,11122,27204
1601354357195664882,49.66300894998981,5.435278362055711,-94,10944,27204
1601354357352864503,49.670872937770845,5.44285365460365,-96,10742,27204
1601354357510490417,49.69639035618745,5.467447545180531,-96,10691,27204
1601354357669805049,49.73446751199793,5.504100911564101,-97,10799,27204
1601354357793635606,49.77731165023761,5.545341261369243,-104,22321,26453
1601354357834830045,49.79149359256199,5.559023141861173,-94,11024,27204
1601354357954058408,49.819698087981536,5.586340923128831,-101,22349,26453
1601354357995180845,49.833875249314765,5.600122320097334,-91,11080,27204
1601354358129204988,49.876231999729654,5.641423041595818,-101,22363,26453
1601354358169570207,49.876231999729654,5.641423041595818,-91,11211,27204
1601354358292549610,49.918560667280346,5.682684026387895,-100,22302,26453
1601354358334083080,49.93268125590466,5.696476335301797,-90,11296,27204
1601354358457430601,49.96092107155568,5.724314204867619,-99,22396,26453
1601354358497734546,49.96092107155568,5.724314204867619,-91,11366,27204
1601354358619734525,50.00312350409783,5.76627461478627,-99,22288,26453
1601354358660148143,50.017240475835166,5.780376998787186,-90,11451,27204
1601354358793958902,50.059132131144565,5.822322879122714,-100,22218,26453
1601354358835937023,50.0731967334164,5.836384587796987,-91,11498,27204
1601354358957844734,50.101429032199505,5.864578308489295,-98,22143,26453
1601354359001917839,50.11544819733857,5.878571245572029,-91,11559,27204
1601354359134438753,50.143434243000556,5.906507898320975,-100,22002,26453
1601354359175359725,50.171763141370214,5.9348122742546,-91,11615,27204
1601354359296947479,50.199730188220514,5.962801777284373,-99,22044,26453
1601354359337874412,50.213696788322544,5.9767965231573745,-92,11760,27204
1601354359456072807,50.24157505435678,6.004747880214807,-100,21960,26453
1601354359496906280,50.24157505435678,6.004747880214807,-95,11732,27204
1601354359622717618,50.28337170033597,6.046708266886071,-99,21885,26453
1601354359663871049,50.297610835465356,6.061022525962762,-96,11779,27204
1601354359786195039,50.3256859366742,6.08928011178029,-100,21871,26453
1601354359940523624,50.38149417774826,6.1455826698252025,-100,21885,26453
1601354359982895612,50.395405664060306,6.159644826381277,-94,11967,27204
1601354360119468212,50.42326040814316,6.1878470683211475,-98,21791,26453
1601354360278807878,50.4513297035351,6.21628718024408,-98,21791,26453
1601354360320543527,50.46535513694821,6.230505823780577,-94,11981,27204
1601354360441716194,50.52110962738288,6.287126350206072,-98,21768,26453
1601354360483427524,50.52110962738288,6.287126350206072,-96,11999,27204
1601354360605740070,50.56285509308101,6.329595982126874,-99,21575,26453
1601354360646354198,50.57673061217845,6.343731372047256,-97,12065,27204
1601354360775657415,50.60454917087622,6.372103494745705,-99,21721,26453
1601354360818869829,50.63238353305288,6.400573144400756,-99,12192,27204
1601354360942141771,50.65969866458742,6.428908751163767,-100,21393,26453
1601354360983551979,50.67340989299205,6.443434686980722,-101,12112,27204
1601354361114591121,50.70068676203644,6.472929249054097,-102,21421,26453
1601354361274105072,50.740707343254,6.517622758596526,-102,21243,26453
1601354361316257715,50.740707343254,6.517622758596526,-101,12304,27204
1601354361438891410,50.7931852158693,6.577769900371438,-100,21107,26453
1601354361481004238,50.7931852158693,6.577769900371438,-101,12393,27204
1601354361603233098,50.83253881579436,6.622739533677836,-102,20943,26453
1601354361801384687,50.884807525281545,6.682342562931221,-100,12562,27204
1601354361960080385,50.92414857216273,6.727215849288798,-102,12633,27204
1601354362118722200,50.96352743228197,6.772095753368502,-103,12731,27204
1601354362581766128,51.08139359981506,6.906729860373024,-102,13055,27204
1601354363012075662,51.1985386293853,7.04095747939939,-108,20661,26453
1601354363360967397,51.289595429412394,7.145559473246067,-101,13008,27204
1601354363522340059,51.32872030952768,7.190625318924894,-99,13092,27204
1601354363685122013,51.367747770932354,7.235625231327949,-99,13149,27204
